Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude
Pilspets a1,462676_HST,34000,Undernummer: Bj 82a,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,82A,Historiska museet,Pilspets a1 - 117,https://samlingar.shm.se/object/E9B56E02-57DC-45E3-AC01-0ADC09EE9523,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,462676_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav: 82A",Bj 82A,"Stolpe, Hjalmar",1875,Längd 57.8 mm,,,,,
Rundsköld,462680_HST,34000,Undernummer: Bj 643,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,643,Historiska museet,Rundsköld - 118,https://samlingar.shm.se/object/57A32652-6F69-46ED-BFFC-DA0C7EE81BA7,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,462680_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 643",Bj 643,"Stolpe, Hjalmar",1878,,11,,,,
Svärd,454406_HST,2976,Undernummer: 345,Brons,,,,Gotland,Sverige,,,Historiska museet,Svärd - 119,https://samlingar.shm.se/object/3F1EECA4-2954-4FFA-8D8F-43E9DC9CA971,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,454406_HST,,2976,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2976,,1862,"Landskap: Gotland, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Svärd,454499_HST,30249,Fyndnummer: 15,Brons,"Helgö, Gravfält 116",L2017:5384,Ekerö socken,Uppland,Sverige,Grav,31,Historiska museet,Svärd - 120,https://samlingar.shm.se/object/0D5B3CB0-7D55-4C28-937C-AC06268CD94E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,454499_HST,,30249,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=30249,,1975,"Plats: Helgö, Gravfält 116, Fornlämning: L2017:5384, Socken: Ekerö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Grav: 31,,,,Längd 28 mm  Bredd 9 mm,1,,,46.3144754,11.0480288
Yxa Petersen C,419042_HST,8799,Undernummer: 1,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Yxa Petersen C - 121,https://samlingar.shm.se/object/A9FC7FCF-E8EB-4CD5-9360-7DED68B37654,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,419042_HST,"Birka, Adelsö socken",8799,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=8799,Köp,1890,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,,,,,,
Svärd Petersen H/I,419918_HST,4832,Undernummer: 2,Järn,Allekvia,,Endre socken,Gotland,Sverige,,,Historiska museet,Svärd Petersen H/I - 122,https://samlingar.shm.se/object/79479322-B2EB-42F1-9135-641A12C9AA89,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,419918_HST,,4832,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4832,,1872,"Plats: Allekvia, Socken: Endre socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 265 mm  Längd 287 mm  Längd 310 mm  Längd 303 mm,4,57.611140899999995,18.428595948759924,46.3144754,11.0480288
Spjut,467387_HST,34000,Undernummer: Bj 708,"Järn, Koppar, Silver","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,708,Historiska museet,Spjut - 123,https://samlingar.shm.se/object/4EB15BCA-61C7-420B-AC77-26B04553DC33,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,467387_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 708",Bj 708,"Stolpe, Hjalmar",1879,,1,,,,
Svärd,419139_HST,432,FID: 419139,Järn,"Björkö, okänd fyndplats",,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd - 124,https://samlingar.shm.se/object/9E23000D-53A3-420E-8372-1EF79C6E5EE7,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,419139_HST,"Birka, Adelsö socken",432,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=432,Köp,1820,"Plats: Björkö, okänd fyndplats, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 371 mm,2,,,,
bågfodralsbeslag,417572_HST,34000,Undernummer: Bj 1125B,"Brons, Läder","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,1125B,Historiska museet,bågfodralsbeslag - 125,https://samlingar.shm.se/object/736E1B81-B741-43BB-93C0-19A65EC97646,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,417572_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 1125B",Bj 1125B,"Stolpe, Hjalmar",1888,,1,,,,
Yxa Petersen C,416136_HST,17343,Undernummer: 1702,Järn,,,,Gotland,Sverige,,,Historiska museet,Yxa Petersen C - 126,https://samlingar.shm.se/object/9FC7EF4D-02CE-4AEC-A887-7B0ABF4DD6D3,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1250,Vikingatid  Tidig medeltid,416136_HST,,17343,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,1923,"Landskap: Gotland, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Bredyxa,417448_HST,17871,FID: 417448,Järn,Stenbylund,,Lagga socken,Uppland,Sverige,,,Historiska museet,Bredyxa - 127,https://samlingar.shm.se/object/1D1F2C9F-24F9-44C9-8D68-51E6453ADED2,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1100,Vikingatid,417448_HST,,17871,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17871,,1925,"Plats: Stenbylund, Socken: Lagga socken, Kommun: Knivsta kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.7830498,17.8279298,46.3144754,11.0480288
Bredyxa,417508_HST,22970,FID: 417508,Järn,Prästgården,,Lommaryd socken,Småland,Sverige,,,Historiska museet,Bredyxa - 128,https://samlingar.shm.se/object/E5C03738-7F6D-402B-AF53-8110E8F03551,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1100,Vikingatid,417508_HST,,22970,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22970,,1942,"Plats: Prästgården, Socken: Lommaryd socken, Kommun: Aneby kommun, Landskap: Småland, Land: Sverige",,,,,,,60.0831067,23.6966026,46.3144754,11.0480288
Svärd,362721_HST,2152,FID: 362721,Järn,Karleby,L1942:6970,Simtuna socken,Uppland,Sverige,,,Historiska museet,Svärd - 129,https://samlingar.shm.se/object/FCB0F7F4-AC73-4761-911D-235572AAFA8E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,362721_HST,,2152,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2152,,1855,"Plats: Karleby, Fornlämning: L1942:6970, Socken: Simtuna socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,1,54.7908821,12.0287086,46.3144754,11.0480288
Svärd,362923_HST,12773,Undernummer: 11,Järn,"Henriksdal, Lillmyr",,Barlingbo socken,Gotland,Sverige,,,Historiska museet,Svärd - 130,https://samlingar.shm.se/object/3DDB284A-E382-4551-AEA3-67C474FE72FB,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,362923_HST,,12773,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12773,,1906,"Plats: Henriksdal, Lillmyr, Socken: Barlingbo socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,1,,,46.3144754,11.0480288
Spatha,363865_HST,19734,FID: 363865,"Järn, Brons",Broa,L1976:1548,Halla socken,Gotland,Sverige,Grav,,Historiska museet,Spatha - 131,https://samlingar.shm.se/object/E71021E3-6ABD-4663-9BD6-E6A23299F1E0,Vapen och rustningar  Arkeologisk samling,1,550 – 1100,Vendeltid  Vikingatid,363865_HST,,19734,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19734,,1931,"Plats: Broa, Fornlämning: L1976:1548, Socken: Halla socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Grav,,,,,,39.2664318,-7.3585057,46.3144754,11.0480288
Bredyxa,417454_HST,18133,FID: 417454,"Järn, Trä",Korsviken,,Gryta socken,Uppland,Sverige,,,Historiska museet,Bredyxa - 132,https://samlingar.shm.se/object/F3C1D245-C7D9-4404-A3B8-6B60F5BA314E,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1100,Vikingatid,417454_HST,,18133,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=18133,,1926,"Plats: Korsviken, Socken: Gryta socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,,58.2977185,11.371665,46.3144754,11.0480288
Pil,451472_HST,34000,Undernummer: Bj 306b,Järn,"Björkö, Kvarnbacka",L2017:2006,Adelsö socken,Uppland,Sverige,Brandgrav,306B,Historiska museet,Pil - 133,https://samlingar.shm.se/object/D57E0228-3A42-49A8-8D78-89FFBAFEB894,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,451472_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Kvarnbacka, Fornlämning: L2017:2006, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav: 306B",Bj 306B,"Stolpe, Hjalmar",1876,,,,,,
Spjut,451979_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Spjut - 134,https://samlingar.shm.se/object/4C3760A8-B47B-4B1C-A83B-E787B82D6BB5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,451979_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,
Spjut,452154_HST,34000,Undernummer: Bj 624,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,624,Historiska museet,Spjut - 135,https://samlingar.shm.se/object/AA9670E7-5DF7-490B-9641-5EB489715817,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,452154_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 624",Bj 624,"Stolpe, Hjalmar",1878,,,,,,
Spjut,452562_HST,34000,Undernummer: Bj 942,"Järn, Mässing","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,942,Historiska museet,Spjut - 136,https://samlingar.shm.se/object/2F0C016C-2233-4C8C-B0AE-1F3F68E71B41,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,452562_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 942",Bj 942,"Stolpe, Hjalmar",,,1,,,,
Lamellpansar,449387_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Lamellpansar - 137,https://samlingar.shm.se/object/268236B6-81B1-4A5D-BFFD-E0DC0F7F9C65,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,449387_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,69,,,,
Lamellpansar,449454_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Lamellpansar - 138,https://samlingar.shm.se/object/A3C60913-46C3-4038-8A13-BEEC30E78381,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,449454_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,
Lamellpansar,449455_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Lamellpansar - 139,https://samlingar.shm.se/object/52227188-7F8E-438D-96D5-A7A0440840F4,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,449455_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,
Tångepilspets typ A1,449489_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Tångepilspets typ A1 - 140,https://samlingar.shm.se/object/80AE3C78-CBDC-4B68-918E-90A573318FD9,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,449489_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,
Ringväv,449552_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Ringväv - 141,https://samlingar.shm.se/object/4579FC9E-EA3D-44C7-A66A-8A29465BB1ED,Vapen och rustningar  Arkeologisk samling,3,800 – 1100,Vikingatid,449552_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,
Svärd,443909_HST,21245,Undernummer: 1a,Järn,Broby,L1941:5048,Österunda socken,Uppland,Sverige,Brandgrav,1,Historiska museet,Svärd - 142,https://samlingar.shm.se/object/0BBA29A2-A599-4B54-853F-1C4923876694,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,443909_HST,,21245,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=21245,,1936,"Plats: Broby, Fornlämning: L1941:5048, Socken: Österunda socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",Brandgrav: 1,,,,,4,56.2549337,14.0777187,46.3144754,11.0480288
Spjut,441943_HST,34000,Undernummer: Bj 1074,"Järn, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,1074,Historiska museet,Spjut - 143,https://samlingar.shm.se/object/0450BD4C-8C6F-4C6A-9E0F-0F305FA5F549,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,441943_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 1074",Bj 1074,"Stolpe, Hjalmar",1881,,2,,,,
Beslag,446134_HST,34000,Undernummer: Bj 11a,Silver,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,11A,Historiska museet,Beslag - 144,https://samlingar.shm.se/object/E2B64D66-E6C0-4E19-9198-5F3057ECE483,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,446134_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav: 11A",Bj 11A,"Stolpe, Hjalmar",1875,,,,,,
Tveeggat svärd,446543_HST,6732,Undernummer: 1,Järn,Väsby,,Munsö socken,Uppland,Sverige,,,Historiska museet,Tveeggat svärd - 145,https://samlingar.shm.se/object/B55F425A-8E56-49D2-A051-079A522B8CE5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,446543_HST,,6732,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=6732,,1881,"Plats: Väsby, Socken: Munsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,,3,56.2072422,12.591533,46.3144754,11.0480288
Sköld,446863_HST,34000,Undernummer: Bj 914,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,914,Historiska museet,Sköld - 146,https://samlingar.shm.se/object/A8C9F87C-E8F8-4265-BFA7-699AAA0D1F50,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,446863_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 914",Bj 914,"Stolpe, Hjalmar",,,1,,,,
Svärd,447688_HST,11106,Undernummer: 16,Järn,Broa,L1976:1548,Halla socken,Gotland,Sverige,Grav,N,Historiska museet,Svärd - 147,https://samlingar.shm.se/object/4A1840E0-E03E-46C4-9164-9C4E7241E8BC,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,447688_HST,,11106,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=11106,,1900,"Plats: Broa, Fornlämning: L1976:1548, Socken: Halla socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Grav: N,,,,,3,39.2664318,-7.3585057,46.3144754,11.0480288
Svärd Petersen H,362711_HST,2003,FID: 362711,Järn,Ullstämma,,Litslena socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen H - 148,https://samlingar.shm.se/object/EAC402CB-050C-416C-BCF1-E46A3EF32D3B,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,362711_HST,,2003,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2003,,1853,"Plats: Ullstämma, Socken: Litslena socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.6441422,17.261162,46.3144754,11.0480288
Svärd Petersen H/I,362915_HST,12773,Undernummer: 1,Järn,"Henriksdal, Lillmyr",,Barlingbo socken,Gotland,Sverige,,,Historiska museet,Svärd Petersen H/I - 149,https://samlingar.shm.se/object/3D75964F-5ECF-4559-A774-E40C30466203,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,362915_HST,,12773,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12773,,1906,"Plats: Henriksdal, Lillmyr, Socken: Barlingbo socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,,,46.3144754,11.0480288
Svärd,362920_HST,12773,Undernummer: 7,Järn,"Henriksdal, Lillmyr",,Barlingbo socken,Gotland,Sverige,,,Historiska museet,Svärd - 150,https://samlingar.shm.se/object/39E0A6B2-2EC7-4313-A77C-54F4646F3B8E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,362920_HST,,12773,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12773,,1906,"Plats: Henriksdal, Lillmyr, Socken: Barlingbo socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,1,,,46.3144754,11.0480288
Rundsköld,363817_HST,34000,Undernummer: Bj 955,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,955,Historiska museet,Rundsköld - 151,https://samlingar.shm.se/object/AA110FF4-4558-478E-AE9A-9601D57560B0,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,363817_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 955",Bj 955,"Stolpe, Hjalmar",1881,,1,,,,
Tveeggat svärd,364235_HST,19802,Undernummer: 3,Järn,"Hemlingby, Norelund",L1951:5540,Valbo socken,Gästrikland,Sverige,Grav,3,Historiska museet,Tveeggat svärd - 152,https://samlingar.shm.se/object/E450CCB1-6124-4DFE-9593-784576BC7EE9,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,364235_HST,,19802,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19802,,1932,"Plats: Hemlingby, Norelund, Fornlämning: L1951:5540, Socken: Valbo socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Grav: 3,,"Arbman, Holger",,,2,,,46.3144754,11.0480288
Tveeggat svärd,446506_HST,34000,Undernummer: Bj 855,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,855,Historiska museet,Tveeggat svärd - 153,https://samlingar.shm.se/object/E03605A0-A0CF-4014-8C05-EE5B5D885B7D,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,446506_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 855",Bj 855,"Stolpe, Hjalmar",,,3,,,,
Tångepilspets typ D2,450237_HST,34000,Undernummer: Bj 644,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,644,Historiska museet,Tångepilspets typ D2 - 154,https://samlingar.shm.se/object/7B254B52-9F9F-4557-8EB6-3E2E39F8DDE0,Vapen och rustningar  Arkeologisk samling,15,800 – 1100,Vikingatid,450237_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 644",Bj 644,"Stolpe, Hjalmar",1878,Vikt 113.5 g  Längd 140 mm  Bredd 12 mm  Längd 100 mm  Bredd 18 mm,,,,,
Pil,450271_HST,22457,Undernummer: 30,Järn,Benestad,L1955:9224,Aringsås socken,Småland,Sverige,Röse,30,Historiska museet,Pil - 155,https://samlingar.shm.se/object/CADBFAB7-4916-48B2-8498-24742D24916F,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,450271_HST,,22457,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22457,,1940,"Plats: Benestad, Fornlämning: L1955:9224, Socken: Aringsås socken, Kommun: Alvesta kommun, Landskap: Småland, Land: Sverige",Röse: 30,,,,,,58.1544177,8.0913495,46.3144754,11.0480288
